,loss,total_reward
0,0.0,-87.98218512809521
1,54.33265401601791,-152.3054219313443
2,116.00531083842118,-254.64684825448253
3,71.11499612943261,-80.21662031292391
4,62.29679678615771,-305.9311814015302
5,68.65755903495932,-106.99297519832899
6,53.487792957660766,-102.10517641623721
7,51.32428711891174,-85.85625303819558
8,78.30064379085194,-109.28886152469943
9,53.46633393878029,-116.49411927212667
10,77.21575519730968,-192.24559845952567
11,83.10430069379909,-376.09518494643777
12,73.67242991296868,-62.601525780013056
13,73.15684879069426,-94.19092101128471
14,72.1551073649982,-309.2762556778034
15,62.533094282333664,-149.7306613926757
16,62.06162874187742,-102.39744876018472
17,59.94447065769941,-148.57063178916474
18,60.32440862936132,-155.24196503698903
19,52.689355343038386,-169.12371452112603
20,59.0628737109048,-111.89849462680618
21,55.3828578100485,-190.08346838590055
22,51.68608447483608,-167.98391321750762
23,56.229727459937024,-80.65305155935881
24,54.44906810661415,-124.67651706516396
25,55.713377882925315,-160.9032989368064
26,47.57337697090641,-108.33010704122722
27,52.818322310372004,-89.95990227217737
28,59.04034942603973,-46.41211818986338
29,56.34416679382324,-79.36624939068088
30,55.3198008733253,-165.98718716585836
31,57.70313770525923,-276.9823159803091
32,54.194612096337714,-82.84148294409047
33,62.0445109941427,-86.94121509687048
34,53.42104853016056,-98.02695849996097
35,61.96863850918445,-117.17270984129152
36,59.48670423164796,-88.8169240409174
37,66.24436382063074,-25.595091159843463
38,60.24015161624322,-64.73674327925374
39,62.34863161189215,-81.40945079287789
40,64.73944708208244,-311.17588651169933
41,59.890229946916754,-341.6941863926656
42,63.05311175664266,-52.57419002242325
43,56.80974178565176,-224.05415342282672
44,62.70693599934481,-152.59353863170966
45,73.62767400344212,-23.869561153258445
46,65.20564066086497,-230.8712401003815
47,62.66008378001093,-242.56124700862387
48,64.73332434794942,-100.35913688084389
49,55.08776344528681,-66.47716795013962
50,58.11794815772821,-101.58594164662723
51,54.30275129426456,-54.94427176882648
52,54.93028672135991,-170.8479919940882
53,54.04851884344604,-177.1865071154061
54,47.53117926003503,-296.9021655107547
55,45.80647932998533,-107.31661920045065
56,44.814263463020325,-124.60994363722602
57,54.492304958323,-131.41038155440384
58,55.77871343067714,-96.76121748032456
59,50.54906382630853,-399.56287378138364
60,44.93783418631848,-67.27900033911538
61,45.362541151476336,-333.52641087129564
62,55.58814072341062,-109.48944788907686
63,48.723717316874755,-0.12429440724837093
64,47.24490792490542,-96.41027372950109
65,42.70137537320455,-94.11734356817927
66,48.01692964600735,-115.72082289507307
67,53.508680690557526,-3.5569336783216556
68,44.68603591375713,-72.17669346399121
69,46.108617879995485,-26.68569764745861
70,40.62610023261527,-147.16040335521376
71,42.523974707786074,-94.92795728633712
72,47.036972199456166,-104.1248797335789
73,47.84046058926156,-273.6440076436304
74,48.98612745829991,-128.12481172973634
75,46.48438254191721,-48.142997949180945
76,47.59354185461998,-90.84447895343723
77,47.204037506950094,-151.04536402995546
78,39.40797035510723,-118.70134101432095
79,45.60957940789156,-201.4449764592099
80,38.69251319063388,-145.74544563921677
81,39.077077385178185,-62.016023798950044
